fibonacci_recursive,fibonacci_closed,fibonacci_loop
2.1457672119140625e-06,0.0010652542114257812,1.1920928955078125e-06
7.152557373046875e-07,0.0010619163513183594,0.0
0.0,0.0010728836059570312,9.5367431640625e-07
1.9073486328125e-06,0.0011031627655029297,0.0
1.1920928955078125e-06,0.0011000633239746094,9.5367431640625e-07
1.1920928955078125e-06,0.0011298656463623047,9.5367431640625e-07
9.5367431640625e-07,0.0011301040649414062,9.5367431640625e-07
9.5367431640625e-07,0.0014240741729736328,0.0
9.5367431640625e-07,0.0011332035064697266,0.0
1.1920928955078125e-06,0.0012269020080566406,9.5367431640625e-07
7.152557373046875e-07,0.0011591911315917969,9.5367431640625e-07
9.5367431640625e-07,0.0011909008026123047,9.5367431640625e-07
1.1920928955078125e-06,0.0011577606201171875,9.5367431640625e-07
9.5367431640625e-07,0.001222372055053711,9.5367431640625e-07
9.5367431640625e-07,0.0011887550354003906,9.5367431640625e-07
9.5367431640625e-07,0.0012209415435791016,1.1920928955078125e-06
1.1920928955078125e-06,0.0011587142944335938,9.5367431640625e-07
9.5367431640625e-07,0.0011887550354003906,1.1920928955078125e-06
9.5367431640625e-07,0.001190185546875,9.5367431640625e-07
1.1920928955078125e-06,0.0012218952178955078,9.5367431640625e-07
7.152557373046875e-07,0.001190185546875,9.5367431640625e-07
1.9073486328125e-06,0.0012199878692626953,1.9073486328125e-06
0.0,0.0012211799621582031,9.5367431640625e-07
9.5367431640625e-07,0.0012507438659667969,1.1920928955078125e-06
0.0,0.0011920928955078125,1.9073486328125e-06
1.1920928955078125e-06,0.0012209415435791016,9.5367431640625e-07
0.0,0.0012199878692626953,9.5367431640625e-07
9.5367431640625e-07,0.0012507438659667969,9.5367431640625e-07
0.0,0.0012211799621582031,1.9073486328125e-06
2.1457672119140625e-06,0.0012509822845458984,9.5367431640625e-07
0.0,0.0012507438659667969,1.1920928955078125e-06
7.152557373046875e-07,0.0012810230255126953,1.9073486328125e-06
0.0,0.0011913776397705078,1.1920928955078125e-06
1.1920928955078125e-06,0.0012197494506835938,9.5367431640625e-07
9.5367431640625e-07,0.0012202262878417969,1.9073486328125e-06
9.5367431640625e-07,0.0012509822845458984,1.9073486328125e-06
1.1920928955078125e-06,0.0012199878692626953,2.1457672119140625e-06
9.5367431640625e-07,0.001251220703125,9.5367431640625e-07
9.5367431640625e-07,0.0012507438659667969,1.1920928955078125e-06
9.5367431640625e-07,0.0013833045959472656,9.5367431640625e-07
1.1920928955078125e-06,0.0012218952178955078,1.9073486328125e-06
7.152557373046875e-07,0.0012500286102294922,1.9073486328125e-06
9.5367431640625e-07,0.0012497901916503906,2.1457672119140625e-06
1.1920928955078125e-06,0.0016651153564453125,2.1457672119140625e-06
0.0,0.001251220703125,2.1457672119140625e-06
9.5367431640625e-07,0.0012810230255126953,1.6689300537109375e-06
9.5367431640625e-07,0.0012810230255126953,2.1457672119140625e-06
1.1920928955078125e-06,0.0013120174407958984,3.0994415283203125e-06
0.0,0.001220703125,1.9073486328125e-06
9.5367431640625e-07,0.0012500286102294922,2.1457672119140625e-06
1.1920928955078125e-06,0.001251220703125,2.86102294921875e-06
9.5367431640625e-07,0.0012819766998291016,1.9073486328125e-06
7.152557373046875e-07,0.0015850067138671875,3.0994415283203125e-06
9.5367431640625e-07,0.001283884048461914,2.1457672119140625e-06
1.1920928955078125e-06,0.0012810230255126953,2.6226043701171875e-06
9.5367431640625e-07,0.0013189315795898438,3.0994415283203125e-06
9.5367431640625e-07,0.0015227794647216797,2.1457672119140625e-06
1.1920928955078125e-06,0.0012853145599365234,3.0994415283203125e-06
9.5367431640625e-07,0.0012836456298828125,2.86102294921875e-06
9.5367431640625e-07,0.0013129711151123047,2.86102294921875e-06
9.5367431640625e-07,0.0013818740844726562,2.1457672119140625e-06
1.1920928955078125e-06,0.0013113021850585938,2.1457672119140625e-06
9.5367431640625e-07,0.0013108253479003906,2.86102294921875e-06
7.152557373046875e-07,0.0013420581817626953,3.0994415283203125e-06
1.1920928955078125e-06,0.0012197494506835938,3.0994415283203125e-06
1.9073486328125e-06,0.0012502670288085938,2.6226043701171875e-06
0.0,0.0012519359588623047,3.0994415283203125e-06
1.1920928955078125e-06,0.0012822151184082031,3.0994415283203125e-06
2.1457672119140625e-06,0.0013828277587890625,3.0994415283203125e-06
9.5367431640625e-07,0.00131988525390625,2.86102294921875e-06
9.5367431640625e-07,0.0012822151184082031,3.0994415283203125e-06
7.152557373046875e-07,0.0013110637664794922,3.0994415283203125e-06
1.1920928955078125e-06,0.0012519359588623047,2.86102294921875e-06
9.5367431640625e-07,0.001367807388305664,3.0994415283203125e-06
9.5367431640625e-07,0.001276254653930664,4.0531158447265625e-06
1.1920928955078125e-06,0.0013048648834228516,2.86102294921875e-06
9.5367431640625e-07,0.00127410888671875,3.0994415283203125e-06
9.5367431640625e-07,0.0013031959533691406,3.0994415283203125e-06
9.5367431640625e-07,0.001302957534790039,2.86102294921875e-06
1.1920928955078125e-06,0.001332998275756836,3.0994415283203125e-06
0.0,0.0012438297271728516,4.0531158447265625e-06
7.152557373046875e-07,0.0012831687927246094,2.86102294921875e-06
0.0,0.00127410888671875,3.0994415283203125e-06
1.1920928955078125e-06,0.0013048648834228516,4.0531158447265625e-06
0.0,0.0012750625610351562,3.814697265625e-06
1.9073486328125e-06,0.0013041496276855469,3.0994415283203125e-06
1.1920928955078125e-06,0.001302957534790039,2.86102294921875e-06
9.5367431640625e-07,0.001470804214477539,3.0994415283203125e-06
9.5367431640625e-07,0.0012822151184082031,3.0994415283203125e-06
2.1457672119140625e-06,0.001313924789428711,2.86102294921875e-06
9.5367431640625e-07,0.0013110637664794922,4.0531158447265625e-06
7.152557373046875e-07,0.0013430118560791016,4.0531158447265625e-06
1.1920928955078125e-06,0.0013108253479003906,4.0531158447265625e-06
9.5367431640625e-07,0.0013492107391357422,4.0531158447265625e-06
9.5367431640625e-07,0.0013420581817626953,4.0531158447265625e-06
1.1920928955078125e-06,0.0013706684112548828,4.0531158447265625e-06
9.5367431640625e-07,0.0012521743774414062,4.291534423828125e-06
9.5367431640625e-07,0.0012810230255126953,3.814697265625e-06
1.1920928955078125e-06,0.0013680458068847656,4.0531158447265625e-06
9.5367431640625e-07,0.001310110092163086,4.76837158203125e-06
9.5367431640625e-07,0.001280069351196289,4.291534423828125e-06
7.152557373046875e-07,0.0013089179992675781,4.76837158203125e-06
1.1920928955078125e-06,0.0013098716735839844,4.0531158447265625e-06
9.5367431640625e-07,0.0013401508331298828,5.245208740234375e-06
9.5367431640625e-07,0.001280069351196289,3.814697265625e-06
1.1920928955078125e-06,0.0013477802276611328,4.0531158447265625e-06
0.0,0.0013172626495361328,5.0067901611328125e-06
1.9073486328125e-06,0.0013399124145507812,5.0067901611328125e-06
0.0,0.0013089179992675781,4.0531158447265625e-06
9.5367431640625e-07,0.0013380050659179688,4.0531158447265625e-06
0.0,0.0013377666473388672,5.0067901611328125e-06
9.5367431640625e-07,0.0013701915740966797,5.0067901611328125e-06
0.0,0.0012788772583007812,5.0067901611328125e-06
9.5367431640625e-07,0.0013098716735839844,5.0067901611328125e-06
9.5367431640625e-07,0.0013089179992675781,5.0067901611328125e-06
1.1920928955078125e-06,0.0013391971588134766,4.76837158203125e-06
9.5367431640625e-07,0.0013079643249511719,5.0067901611328125e-06
9.5367431640625e-07,0.0013380050659179688,5.0067901611328125e-06
1.1920928955078125e-06,0.0013458728790283203,5.0067901611328125e-06
9.5367431640625e-07,0.0013840198516845703,4.76837158203125e-06
9.5367431640625e-07,0.0013091564178466797,5.245208740234375e-06
9.5367431640625e-07,0.0013880729675292969,5.0067901611328125e-06
9.5367431640625e-07,0.0013401508331298828,5.0067901611328125e-06
9.5367431640625e-07,0.0013687610626220703,5.9604644775390625e-06
9.5367431640625e-07,0.0013391971588134766,5.0067901611328125e-06
1.1920928955078125e-06,0.0013687610626220703,5.0067901611328125e-06
9.5367431640625e-07,0.0013701915740966797,5.0067901611328125e-06
2.1457672119140625e-06,0.0013990402221679688,4.76837158203125e-06
0.0,0.0012500286102294922,6.198883056640625e-06
1.1920928955078125e-06,0.0012769699096679688,4.76837158203125e-06
0.0,0.001277923583984375,5.0067901611328125e-06
1.9073486328125e-06,0.0013148784637451172,5.9604644775390625e-06
1.1920928955078125e-06,0.0012788772583007812,5.7220458984375e-06
9.5367431640625e-07,0.0013079643249511719,6.198883056640625e-06
9.5367431640625e-07,0.0013089179992675781,5.9604644775390625e-06
1.1920928955078125e-06,0.0013391971588134766,5.0067901611328125e-06
9.5367431640625e-07,0.001277923583984375,4.76837158203125e-06
9.5367431640625e-07,0.0013079643249511719,5.245208740234375e-06
1.1920928955078125e-06,0.0013079643249511719,5.9604644775390625e-06
7.152557373046875e-07,0.001338958740234375,5.9604644775390625e-06
0.0,0.0014231204986572266,5.9604644775390625e-06
9.5367431640625e-07,0.0013380050659179688,5.9604644775390625e-06
0.0,0.001338958740234375,6.198883056640625e-06
9.5367431640625e-07,0.001374959945678711,5.9604644775390625e-06
0.0,0.0012791156768798828,6.198883056640625e-06
2.1457672119140625e-06,0.0013079643249511719,5.7220458984375e-06
0.0,0.0013079643249511719,6.9141387939453125e-06
9.5367431640625e-07,0.0013391971588134766,6.198883056640625e-06
0.0,0.0013089179992675781,6.9141387939453125e-06
7.152557373046875e-07,0.0014231204986572266,6.198883056640625e-06
9.5367431640625e-07,0.0013399124145507812,6.9141387939453125e-06
1.1920928955078125e-06,0.001371145248413086,5.7220458984375e-06
9.5367431640625e-07,0.0013098716735839844,6.198883056640625e-06
9.5367431640625e-07,0.0013399124145507812,6.9141387939453125e-06
9.5367431640625e-07,0.00144195556640625,6.9141387939453125e-06
1.1920928955078125e-06,0.0013692378997802734,5.9604644775390625e-06
9.5367431640625e-07,0.0013439655303955078,6.9141387939453125e-06
9.5367431640625e-07,0.0013697147369384766,6.9141387939453125e-06
